City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Hardy,CA,41.18,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
3,Kaitangata,NZ,58.91,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
5,Ushuaia,AR,47.86,clear sky,-54.8,-68.3,Albatross Hotel
8,Kruisfontein,ZA,56.3,clear sky,-34.0033,24.7314,Oyster Bay House Rental
15,Mizan Teferi,ET,59.88,broken clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
24,Dunedin,NZ,54.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
26,Hobart,AU,58.05,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
27,Port Elizabeth,ZA,55.69,scattered clouds,-33.918,25.5701,39 On Nile Guest House
30,Hermanus,ZA,54.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
31,Lompoc,US,51.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
33,Sabinas Hidalgo,MX,52.97,clear sky,26.5,-100.1667,Hotel Real Santiago De Las Sabinas
42,Bredasdorp,ZA,56.77,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
47,Punta Arenas,CL,53.71,scattered clouds,-53.15,-70.9167,Hotel Hain
49,New Norfolk,AU,57.7,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
57,Grindavik,IS,45.07,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
58,Prince Rupert,CA,44.29,clear sky,54.3161,-130.3201,Crest Hotel
71,Fortuna,US,42.66,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
73,Roald,NO,52.16,scattered clouds,62.5833,6.1333,Flem Cabins
78,Springbok,ZA,54.91,clear sky,-29.6643,17.8865,Undulata Country Lodge
79,Uhlove,UA,47.01,scattered clouds,44.8215,33.6045,Tavryda
80,Margate,GB,53.91,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
84,Sitka,US,43.86,overcast clouds,57.0531,-135.33,Westmark Sitka
99,Bluff,NZ,59.05,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
103,Lebu,CL,52.77,light rain,-37.6167,-73.65,Hostal Las Lilas
110,Ninghai,CN,57.56,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
112,Narsaq,GL,50.22,overcast clouds,60.9167,-46.05,Sleep In Narsaq
120,North Bend,US,41.92,few clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
125,Nemuro,JP,42.31,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
133,Villa Carlos Paz,AR,57.4,clear sky,-31.4241,-64.4978,Monte Carlo vcp
134,Jacksonville,US,57.0,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
140,Tamworth,GB,51.66,overcast clouds,52.634,-1.6959,Drayton Manor Hotel
142,Harbour Breton,CA,40.06,light rain,47.4833,-55.7983,Southern Port Hotel
144,Aksu,CN,40.69,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
147,Eureka,US,43.41,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
148,Skoghall,SE,46.96,fog,59.3232,13.4655,Mörudden Camping & Stugby
150,Datong,CN,43.05,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
151,Dalian,CN,49.93,clear sky,38.9122,121.6022,Kempinski Hotel Dalian
171,Hami,CN,42.42,clear sky,42.8,93.45,Laoyutang Resort
174,Yima,CN,55.76,overcast clouds,34.7381,111.8839,Yima Hotel
175,Sistranda,NO,44.56,overcast clouds,63.7256,8.834,Hotell Frøya
176,Sobolevo,RU,40.19,overcast clouds,54.4299,31.8996,
180,Saldanha,ZA,59.04,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
183,Villiers,ZA,56.08,broken clouds,-27.0303,28.6006,Niki's Guesthouse
184,Muros,ES,50.85,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
197,Laguna,US,51.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
202,Olafsvik,IS,45.39,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
209,Zhanakorgan,KZ,45.36,overcast clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
211,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
216,Port Lincoln,AU,59.04,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
221,Nedjo,ET,56.08,clear sky,9.5046,35.5019,Yerosan Hotel
228,Rosarito,MX,59.14,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
229,Huilong,CN,59.94,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
235,Kamaishi,JP,53.44,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
237,Atlantic Beach,US,57.02,clear sky,30.3344,-81.3987,One Ocean Resort & Spa
244,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Hotel San Juan
245,Bam,IR,57.45,clear sky,29.106,58.357,Bam Tourist Hotel
254,Bording,DK,49.98,overcast clouds,56.1465,9.2753,Paarup Kro
255,Lasa,IT,42.03,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
256,Codrington,AU,56.21,overcast clouds,-38.2667,141.9667,
259,Bethel,US,41.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
262,Aberdeen,GB,52.29,overcast clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
263,Plettenberg Bay,ZA,57.52,clear sky,-34.0527,23.3716,Thanda Vista B&B
269,Westport,US,44.08,clear sky,41.1415,-73.3579,The Westport Inn
270,Kimberley,ZA,56.97,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
277,Pacific Grove,US,51.48,clear sky,36.6177,-121.9166,Lovers Point Inn
281,Jining,CN,54.72,broken clouds,35.405,116.5814,Yunhe Star Hotel
283,Canyon,US,43.02,clear sky,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
284,Erzin,TR,59.63,clear sky,36.9559,36.2,Artemis Otel
296,Beyneu,KZ,42.35,clear sky,45.3167,55.2,NUR
308,San Jeronimo,PE,52.84,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
310,Villazon,BO,46.9,clear sky,-22.0866,-65.5942,La Candelaria
322,Hofn,IS,48.58,light rain,64.2539,-15.2082,Hótel Höfn
327,Vagur,FO,49.51,overcast clouds,61.4732,-6.8119,The Scouts House Camping
329,Steinbach,DE,42.19,fog,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
330,Burnie,AU,58.95,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
333,Arroyo,ES,51.84,few clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
334,Taian,CN,51.35,overcast clouds,36.1853,117.12,Taishan International Youth Hostel
340,Lata,PT,56.91,overcast clouds,40.1629,-8.3327,Terraços da Beira
349,Otkaznoye,RU,50.77,overcast clouds,44.3264,43.8608,
358,Coos Bay,US,41.99,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
359,San Quintin,MX,59.34,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
364,Ancud,CL,53.04,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
374,Necochea,AR,59.02,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
379,Jalu,LY,58.91,scattered clouds,29.0331,21.5482,صاحبة الفخامة
380,Sayyan,YE,49.87,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
381,Rudnya,RU,40.33,overcast clouds,54.947,31.0934,Paradoks
385,Newport,GB,56.12,broken clouds,51.5877,-2.9984,ibis budget Newport
387,Avera,US,42.85,clear sky,33.194,-82.5271,
390,Brae,GB,51.64,overcast clouds,60.3964,-1.353,Busta House Hotel
392,Great Yarmouth,GB,53.02,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
394,Zabol,AF,42.37,scattered clouds,32.25,67.25,
396,Tselina,RU,40.23,scattered clouds,46.5338,41.0328,Kristina
398,Abu Samrah,SY,57.94,clear sky,35.3029,37.1841,
409,Dongsheng,CN,40.46,clear sky,39.8161,109.9776,Crowne Plaza Ordos
410,Breyten,ZA,50.72,overcast clouds,-26.3018,29.987,Breyten Hotel-Two Stars
412,Moncton,CA,45.32,overcast clouds,46.1159,-64.8019,"Crowne Plaza Moncton Downtown, an IHG Hotel"
