City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.12,92,80,17.43,broken clouds
1,Yulara,AU,-25.2406,130.9889,79.05,22,0,6.4,clear sky
2,Port Hardy,CA,50.6996,-127.4199,41.18,93,100,3.44,overcast clouds
3,Kaitangata,NZ,-46.2817,169.8464,58.91,73,60,13.31,broken clouds
4,Shimoda,JP,34.6667,138.95,62.96,65,91,14.27,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,47.86,76,0,5.75,clear sky
6,Sal Rei,CV,16.1833,-22.9167,74.97,78,83,16.78,broken clouds
7,Albany,US,42.6001,-73.9662,36.57,72,42,1.01,scattered clouds
8,Kruisfontein,ZA,-34.0033,24.7314,56.3,72,0,3.96,clear sky
9,Salalah,OM,17.0151,54.0924,78.78,49,8,2.62,clear sky
10,Murray Bridge,AU,-35.1167,139.2667,63.12,59,78,19.69,broken clouds
11,Port Alfred,ZA,-33.5906,26.891,60.93,80,15,5.75,few clouds
12,Kapaa,US,22.0752,-159.319,75.11,82,15,1.01,light rain
13,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,93,100,5.75,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,74.53,87,98,12.77,overcast clouds
15,Mizan Teferi,ET,6.9833,35.5833,59.88,90,58,3.22,broken clouds
16,Mandalgovi,MN,45.7625,106.2708,31.53,31,26,15.3,scattered clouds
17,Hithadhoo,MV,-0.6,73.0833,81.57,77,100,12.21,light rain
18,Kodiak,US,57.79,-152.4072,37.17,83,91,10.36,overcast clouds
19,Entre Rios,BR,-11.9419,-38.0844,70.16,99,90,2.24,overcast clouds
20,Dikson,RU,73.5069,80.5464,6.98,95,100,8.81,overcast clouds
21,Nikolskoye,RU,59.7035,30.7861,32.81,87,25,2.51,scattered clouds
22,Qaanaaq,GL,77.484,-69.3632,-6.18,91,74,2.68,broken clouds
23,Puerto Carreno,CO,6.189,-67.4859,77.97,84,45,5.35,scattered clouds
24,Dunedin,NZ,-45.8742,170.5036,54.81,83,96,8.99,overcast clouds
25,Airai,TL,-8.9266,125.4092,78.1,53,85,2.71,overcast clouds
26,Hobart,AU,-42.8794,147.3294,58.05,84,75,20.71,light rain
27,Port Elizabeth,ZA,-33.918,25.5701,55.69,88,40,5.75,scattered clouds
28,Kahului,US,20.8947,-156.47,77.85,83,6,4.0,clear sky
29,Mataura,NZ,-46.1927,168.8643,73.24,42,40,6.93,scattered clouds
30,Hermanus,ZA,-34.4187,19.2345,54.81,87,74,10.38,broken clouds
31,Lompoc,US,34.6391,-120.4579,51.94,83,0,1.01,clear sky
32,Yarada,IN,17.65,83.2667,82.72,54,6,8.05,haze
33,Sabinas Hidalgo,MX,26.5,-100.1667,52.97,56,0,5.03,clear sky
34,Busselton,AU,-33.65,115.3333,69.76,32,0,3.51,clear sky
35,Thompson,CA,55.7435,-97.8558,-3.84,84,20,2.3,few clouds
36,Libreville,GA,0.3925,9.4537,73.42,94,40,4.61,thunderstorm
37,Wang Saphung,TH,17.301,101.7685,87.75,65,75,2.3,broken clouds
38,Quatre Cocos,MU,-20.2078,57.7625,78.1,73,53,6.58,light rain
39,Alyangula,AU,-13.8483,136.4192,88.39,64,71,11.74,broken clouds
40,Vaini,TO,-21.2,-175.2,75.36,100,100,12.66,light rain
41,Kavieng,PG,-2.5744,150.7967,85.19,69,100,13.69,light rain
42,Bredasdorp,ZA,-34.5322,20.0403,56.77,91,45,5.37,scattered clouds
43,Longyearbyen,SJ,78.2186,15.6401,28.24,86,75,6.91,light shower snow
44,Khatanga,RU,71.9667,102.5,-20.15,99,100,8.39,overcast clouds
45,Sibolga,ID,1.7427,98.7792,80.64,84,97,4.45,overcast clouds
46,Kununurra,AU,-15.7667,128.7333,103.98,31,18,5.75,few clouds
47,Punta Arenas,CL,-53.15,-70.9167,53.71,58,40,6.29,scattered clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,69.55,84,58,4.0,broken clouds
49,New Norfolk,AU,-42.7826,147.0587,57.7,93,100,5.66,light rain
50,Faanui,PF,-16.4833,-151.75,74.82,81,100,12.8,overcast clouds
51,Moramanga,MG,-18.9333,48.2,67.77,71,9,3.38,clear sky
52,Yellowknife,CA,62.456,-114.3525,23.52,86,75,11.5,light snow
